"","tipo","periodo","material","volumen","precio","dist_vol","dist_pre"
"1","Producto",1,"Producto1",1000,5,"normal","normal"
"2","Producto",1,"Producto2",500,3,"normal","normal"
"3","Material",1,"Material1",500,1,"cauchy","normal"
"4","Material",1,"Material2",800,1.5,"cauchy","normal"
"5","Material",1,"Material3",200,2,"cauchy","normal"
"6","Utility",1,"Electricidad",100,0.05,"poisson","cauchy"
"7","Utility",1,"Gas",50,0.03,"poisson","cauchy"
"8","Producto",2,"Producto1",1000,5.1,"normal","normal"
"9","Producto",2,"Producto2",500,3.06,"normal","normal"
"10","Material",2,"Material1",500,1.02,"cauchy","normal"
"11","Material",2,"Material2",800,1.53,"cauchy","normal"
"12","Material",2,"Material3",200,2.04,"cauchy","normal"
"13","Utility",2,"Electricidad",100,0.051,"poisson","cauchy"
"14","Utility",2,"Gas",50,0.0306,"poisson","cauchy"
"15","Producto",3,"Producto1",1000,5.202,"normal","normal"
"16","Producto",3,"Producto2",500,3.1212,"normal","normal"
"17","Material",3,"Material1",500,1.0404,"cauchy","normal"
"18","Material",3,"Material2",800,1.5606,"cauchy","normal"
"19","Material",3,"Material3",200,2.0808,"cauchy","normal"
"20","Utility",3,"Electricidad",100,0.05202,"poisson","cauchy"
"21","Utility",3,"Gas",50,0.031212,"poisson","cauchy"
"22","Producto",4,"Producto1",1000,5.30604,"normal","normal"
"23","Producto",4,"Producto2",500,3.183624,"normal","normal"
"24","Material",4,"Material1",500,1.061208,"cauchy","normal"
"25","Material",4,"Material2",800,1.591812,"cauchy","normal"
"26","Material",4,"Material3",200,2.122416,"cauchy","normal"
"27","Utility",4,"Electricidad",100,0.0530604,"poisson","cauchy"
"28","Utility",4,"Gas",50,0.03183624,"poisson","cauchy"
"29","Producto",5,"Producto1",1000,5.4121608,"normal","normal"
"30","Producto",5,"Producto2",500,3.24729648,"normal","normal"
"31","Material",5,"Material1",500,1.08243216,"cauchy","normal"
"32","Material",5,"Material2",800,1.62364824,"cauchy","normal"
"33","Material",5,"Material3",200,2.16486432,"cauchy","normal"
"34","Utility",5,"Electricidad",100,0.054121608,"poisson","cauchy"
"35","Utility",5,"Gas",50,0.0324729648,"poisson","cauchy"
"36","Producto",6,"Producto1",1000,5.520404016,"normal","normal"
"37","Producto",6,"Producto2",500,3.3122424096,"normal","normal"
"38","Material",6,"Material1",500,1.1040808032,"cauchy","normal"
"39","Material",6,"Material2",800,1.6561212048,"cauchy","normal"
"40","Material",6,"Material3",200,2.2081616064,"cauchy","normal"
"41","Utility",6,"Electricidad",100,0.05520404016,"poisson","cauchy"
"42","Utility",6,"Gas",50,0.033122424096,"poisson","cauchy"
"43","Producto",7,"Producto1",1000,5.63081209632,"normal","normal"
"44","Producto",7,"Producto2",500,3.378487257792,"normal","normal"
"45","Material",7,"Material1",500,1.126162419264,"cauchy","normal"
"46","Material",7,"Material2",800,1.689243628896,"cauchy","normal"
"47","Material",7,"Material3",200,2.252324838528,"cauchy","normal"
"48","Utility",7,"Electricidad",100,0.0563081209632,"poisson","cauchy"
"49","Utility",7,"Gas",50,0.03378487257792,"poisson","cauchy"
"50","Producto",8,"Producto1",1000,5.7434283382464,"normal","normal"
"51","Producto",8,"Producto2",500,3.44605700294784,"normal","normal"
"52","Material",8,"Material1",500,1.14868566764928,"cauchy","normal"
"53","Material",8,"Material2",800,1.72302850147392,"cauchy","normal"
"54","Material",8,"Material3",200,2.29737133529856,"cauchy","normal"
"55","Utility",8,"Electricidad",100,0.057434283382464,"poisson","cauchy"
"56","Utility",8,"Gas",50,0.0344605700294784,"poisson","cauchy"
"57","Producto",9,"Producto1",1000,5.85829690501133,"normal","normal"
"58","Producto",9,"Producto2",500,3.5149781430068,"normal","normal"
"59","Material",9,"Material1",500,1.17165938100227,"cauchy","normal"
"60","Material",9,"Material2",800,1.7574890715034,"cauchy","normal"
"61","Material",9,"Material3",200,2.34331876200453,"cauchy","normal"
"62","Utility",9,"Electricidad",100,0.0585829690501133,"poisson","cauchy"
"63","Utility",9,"Gas",50,0.035149781430068,"poisson","cauchy"
"64","Producto",10,"Producto1",1000,5.97546284311156,"normal","normal"
"65","Producto",10,"Producto2",500,3.58527770586693,"normal","normal"
"66","Material",10,"Material1",500,1.19509256862231,"cauchy","normal"
"67","Material",10,"Material2",800,1.79263885293347,"cauchy","normal"
"68","Material",10,"Material3",200,2.39018513724462,"cauchy","normal"
"69","Utility",10,"Electricidad",100,0.0597546284311156,"poisson","cauchy"
"70","Utility",10,"Gas",50,0.0358527770586693,"poisson","cauchy"
